Date,Open,High,Low,Close,Adj Close,Volume
2020-07-27,105.4000015258789,107.33799743652344,103.5999984741211,105.0,97.66291809082031,560235
2020-07-28,106.0,106.5999984741211,103.86299896240234,105.80000305175781,98.40702819824219,214650
2020-07-29,106.5999984741211,111.19999694824219,106.0,108.5999984741211,101.01136016845703,445622
2020-07-30,110.4000015258789,111.80000305175781,108.0,109.19999694824219,101.5694351196289,321270
2020-07-31,108.5999984741211,113.0,107.90499877929688,111.4000015258789,103.61570739746094,380015
2020-08-03,108.0,112.80000305175781,108.0,111.4000015258789,103.61570739746094,201391
2020-08-04,107.5999984741211,111.80000305175781,107.5999984741211,109.80000305175781,102.12751007080078,264735
2020-08-05,109.0,111.80000305175781,108.19999694824219,109.5999984741211,101.94147491455078,415191
2020-08-06,110.0,112.10299682617188,108.5999984741211,110.0,102.31353759765625,604485
2020-08-07,110.5999984741211,114.83799743652344,110.0,112.5999984741211,104.73184967041016,680012
2020-08-10,111.80000305175781,115.4000015258789,111.0,112.0,104.17378997802734,274461
2020-08-11,112.19999694824219,112.4000015258789,111.4000015258789,112.0,104.17378997802734,4174800
2020-08-12,113.0,113.33200073242188,110.19999694824219,112.0,104.17378997802734,489282
2020-08-13,112.5999984741211,113.5,109.4000015258789,111.5999984741211,105.37290954589844,370137
2020-08-14,115.0,115.0,109.4000015258789,110.0,103.86219787597656,157600
2020-08-17,111.80000305175781,111.80000305175781,109.4000015258789,110.19999694824219,104.05103302001953,291588
2020-08-18,112.0,112.0,106.80000305175781,108.4000015258789,102.35147094726562,299962
2020-08-19,110.4000015258789,110.4000015258789,106.0,107.4000015258789,101.40727233886719,664105
2020-08-20,109.0,110.19999694824219,107.0,108.5999984741211,102.5403060913086,501382
2020-08-21,106.19999694824219,110.19999694824219,106.19999694824219,110.0,103.86219787597656,346177
2020-08-24,110.4000015258789,110.4000015258789,107.22000122070312,108.4000015258789,102.35147094726562,175609
2020-08-25,107.19999694824219,111.0,107.10099792480469,110.5999984741211,104.4287109375,504641
2020-08-26,110.5999984741211,112.0,109.0,111.0,104.80638885498047,393528
2020-08-27,111.4000015258789,113.38700103759766,108.19999694824219,110.5999984741211,104.4287109375,347251
2020-08-28,109.4000015258789,112.01399993896484,107.0,108.80000305175781,102.7291488647461,330699
2020-09-01,112.80000305175781,112.80000305175781,108.19999694824219,108.80000305175781,102.7291488647461,259403
2020-09-02,110.19999694824219,110.5999984741211,109.19999694824219,110.19999694824219,104.05103302001953,592652
2020-09-03,111.0,111.0,109.0,109.19999694824219,103.10682678222656,276541
2020-09-04,110.0,110.53399658203125,107.0,108.19999694824219,102.16263580322266,424743
2020-09-07,107.19999694824219,111.06199645996094,107.19999694824219,108.4000015258789,102.35147094726562,309232
2020-09-08,110.5999984741211,111.19999694824219,108.4000015258789,109.0,102.9179916381836,256433
2020-09-09,108.5999984741211,111.09600067138672,108.0,108.4000015258789,102.35147094726562,266360
2020-09-10,109.5999984741211,111.0,107.0,109.0,102.9179916381836,347614
2020-09-11,108.5999984741211,111.19999694824219,107.94000244140625,108.4000015258789,102.35147094726562,361362
2020-09-14,108.4000015258789,111.0,108.4000015258789,109.4000015258789,103.29566955566406,261735
2020-09-15,108.5999984741211,110.0,108.5999984741211,110.0,103.86219787597656,338912
2020-09-16,109.0,110.83100128173828,108.80000305175781,110.0,103.86219787597656,480150
2020-09-17,110.0,110.0,108.63999938964844,110.0,103.86219787597656,1414355
2020-09-18,110.19999694824219,110.19999694824219,109.0,110.0,103.86219787597656,1747107
2020-09-21,110.19999694824219,110.19999694824219,106.93900299072266,108.0,101.97379302978516,258703
2020-09-22,107.19999694824219,110.0,107.0,108.4000015258789,102.35147094726562,308615
2020-09-23,108.0,109.24500274658203,105.0,107.0,101.02958679199219,927499
2020-09-24,108.19999694824219,109.5999984741211,106.19999694824219,107.19999694824219,101.21842193603516,213442
2020-09-25,108.0,108.0,106.19999694824219,106.19999694824219,100.27423095703125,2773870
2020-09-28,107.0,108.0,106.94999694824219,107.4000015258789,101.40727233886719,234838
2020-09-29,107.80000305175781,107.80000305175781,106.0,106.0,100.08538818359375,525164
2020-09-30,106.0,106.19999694824219,104.4000015258789,105.0,99.14118194580078,530635
2020-10-01,105.4000015258789,105.4000015258789,104.50299835205078,104.80000305175781,98.95233917236328,1131395
2020-10-02,105.0,106.0,104.35399627685547,105.5999984741211,99.70770263671875,673361
2020-10-05,106.0,107.38999938964844,104.80000305175781,106.0,100.08538818359375,954760
2020-10-06,105.4000015258789,107.71299743652344,104.87899780273438,106.5999984741211,100.65190887451172,713999
2020-10-07,107.5999984741211,107.83599853515625,105.80000305175781,106.4000015258789,100.46306610107422,903806
2020-10-08,105.4000015258789,106.5,103.1500015258789,104.19999694824219,98.38581848144531,544305
2020-10-09,105.80000305175781,108.0,103.5,106.5999984741211,100.65190887451172,797229
2020-10-12,106.19999694824219,107.45600128173828,105.19999694824219,106.19999694824219,100.27423095703125,523956
2020-10-13,105.80000305175781,106.85199737548828,104.5999984741211,104.80000305175781,98.95233917236328,340318
2020-10-14,105.0,107.0,104.80400085449219,105.80000305175781,99.89655303955078,228210
2020-10-15,104.19999694824219,106.0,102.19999694824219,102.19999694824219,96.49742126464844,874227
2020-10-16,104.0,104.5999984741211,102.71199798583984,103.80000305175781,98.00814819335938,268757
2020-10-19,104.0,106.4000015258789,102.9540023803711,105.4000015258789,99.51885986328125,270223
2020-10-20,104.5999984741211,107.5999984741211,104.5999984741211,107.0,101.02958679199219,583953
2020-10-21,107.4000015258789,107.5999984741211,105.80000305175781,107.0,101.02958679199219,619840
2020-10-22,107.5999984741211,110.80000305175781,106.0,110.80000305175781,104.6175537109375,809665
2020-10-23,109.19999694824219,110.19999694824219,107.0,107.0,101.02958679199219,408075
2020-10-26,107.0,110.18399810791016,105.53600311279297,106.0,100.08538818359375,750495
2020-10-27,107.19999694824219,107.4000015258789,105.83999633789062,106.19999694824219,100.27423095703125,311098
2020-10-28,104.80000305175781,106.80999755859375,104.80000305175781,106.0,100.08538818359375,229333
2020-10-29,106.4000015258789,107.55799865722656,105.16000366210938,107.4000015258789,101.40727233886719,222215
2020-10-30,106.0,107.80000305175781,105.5999984741211,107.0,101.02958679199219,387038
2020-11-02,104.80000305175781,107.5,104.80000305175781,105.5999984741211,99.70770263671875,251804
2020-11-03,106.19999694824219,108.13800048828125,105.80000305175781,107.0,101.02958679199219,598177
2020-11-04,107.0,108.0,106.6240005493164,108.0,101.97379302978516,279452
2020-11-05,106.80000305175781,111.5999984741211,106.80000305175781,110.0,103.86219787597656,528787
2020-11-06,110.0,112.19999694824219,110.0,112.0,105.75060272216797,142051
2020-11-09,112.4000015258789,118.60800170898438,111.80799865722656,115.19999694824219,108.77204132080078,793523
2020-11-10,115.4000015258789,116.37999725341797,113.80000305175781,115.0,108.58319854736328,1033631
2020-11-11,113.19999694824219,115.5999984741211,113.19999694824219,113.4000015258789,107.07247161865234,531704
2020-11-12,115.0,115.5999984741211,112.5999984741211,113.5999984741211,108.874267578125,437083
2020-11-13,114.5999984741211,114.69999694824219,112.80000305175781,114.0,109.25762939453125,358330
2020-11-16,114.4000015258789,117.80000305175781,114.19999694824219,115.5999984741211,110.79106903076172,377446
2020-11-17,117.5999984741211,118.0,115.0,115.19999694824219,110.40770721435547,462772
2020-11-18,114.80000305175781,117.0,114.19999694824219,114.19999694824219,109.44931030273438,482964
2020-11-19,116.4000015258789,116.5,113.5999984741211,113.5999984741211,108.874267578125,218853
2020-11-20,113.19999694824219,115.4000015258789,110.4000015258789,112.4000015258789,107.72418975830078,514558
2020-11-23,113.0,114.19999694824219,110.80000305175781,112.0,107.34082794189453,254243
2020-11-24,113.5999984741211,113.5999984741211,110.0,112.4000015258789,107.72418975830078,638282
2020-11-25,113.4000015258789,113.4000015258789,110.8270034790039,113.0,108.29922485351562,529960
2020-11-26,114.0,114.0,111.4000015258789,113.0,108.29922485351562,217104
2020-11-27,114.0,114.0,111.19999694824219,113.19999694824219,108.49090576171875,1059636
2020-11-30,114.0,114.19999694824219,112.4000015258789,114.0,109.25762939453125,743593
2020-12-01,114.0,114.84700012207031,113.19999694824219,113.5999984741211,108.874267578125,491077
2020-12-02,113.80000305175781,114.73899841308594,111.4000015258789,112.0,107.34082794189453,505200
2020-12-03,114.80000305175781,114.80000305175781,111.4000015258789,114.0,109.25762939453125,306816
2020-12-04,114.80000305175781,114.80000305175781,112.80000305175781,113.5999984741211,108.874267578125,606618
2020-12-07,112.0,113.80000305175781,111.4000015258789,111.4000015258789,106.76578521728516,314499
2020-12-08,111.5999984741211,112.94999694824219,111.4000015258789,111.80000305175781,107.14915466308594,199495
2020-12-09,111.4000015258789,113.5999984741211,111.4000015258789,112.4000015258789,107.72418975830078,525093
2020-12-10,112.80000305175781,114.19999694824219,111.4000015258789,112.0,107.34082794189453,213992
2020-12-11,112.19999694824219,113.5790023803711,112.0,113.0,108.29922485351562,325906
2020-12-14,113.80000305175781,114.0,112.5999984741211,114.0,109.25762939453125,405422
2020-12-15,113.80000305175781,114.0,112.5999984741211,112.5999984741211,107.91586303710938,286888
2020-12-16,114.0,114.0,112.2239990234375,113.19999694824219,108.49090576171875,675801
2020-12-17,112.5999984741211,113.71800231933594,112.25199890136719,113.0,108.29922485351562,276967
2020-12-18,113.5999984741211,113.80000305175781,112.4000015258789,113.80000305175781,109.06595611572266,1423544
2020-12-21,113.80000305175781,114.0,110.80000305175781,112.0,107.34082794189453,442741
2020-12-22,114.0,115.80000305175781,111.4000015258789,113.5999984741211,108.874267578125,1105693
