,AGR.L,BBOX.L,BCPT.L,BLND.L,BOXE.L,BYG.L,CAPC.L,CLI.L,DIGS.L,DLN.L,ESP.L,GPOR.L,GRI.L,HLCL.L,HMSO.L,IUKP.L,LAND.L,LMP.L,LXI.L,PCTN.L,PHP.L,SAFE.L,SGRO.L,SHB.L,SRE.L,STP.L,SUPR.L,THRL.L,UKCM.L,UTG.L,WKP.L,^FTLC,^FTSE
SGRO.L,0.05377069227042,0.011482289847867182,0.008734295568339078,0.04299582671547535,0.002811015378772517,0.039487138876981784,0.04129132596357866,0.07195499947013537,0.03163691368608461,0.046815101533873575,0.00846280353517475,0.040992000077686885,0.060335135205611595,0.052267621452911535,0.034059741127421495,0.035833392169359185,0.03911612821402718,0.04090493317223326,0.011559887270178884,0.019070379464975886,0.0425135900295572,0.05851007468535126,0.04829354337632231,0.04108916946393224,0.049223446984836744,0.02855290679639952,0.0213226574610966,0.00954924204127101,0.016392201667903207,0.06158987785914975,0.0727139314684838,0.023919380029993335,0.022151938631642866
SHB.L,0.03817474768409271,0.009033879866600501,0.03226013761030898,0.04827002834392616,0.02175041491075811,0.04426682525484103,0.06635875931381074,0.08446051662962792,0.04461087821611788,0.05369210747202722,0.023230200838050406,0.04628184389343537,0.051460998790869975,0.058965643488231995,0.10289490472772539,0.042757509213947636,0.04490035574650623,0.034866609397572024,0.03452666337250893,0.037119430131602994,0.03199173807278298,0.06085292975152503,0.04108916946393224,0.05896942459068413,0.03865378479504011,0.032052176855656374,0.022033141613407466,0.005497283566529393,0.03394395644791063,0.06260720926814606,0.08107526589466532,0.030704810835147204,0.030093579621609315
SRE.L,0.05616081107070021,0.013555885978669401,0.005857308915915184,0.042636153237113124,0.000722395185173608,0.03855096772352418,0.038956867015146474,0.06934747528838711,0.029725202410365484,0.045939457206108376,0.006490660345200388,0.04098839519511696,0.061808228156675145,0.05149165162561604,0.02856858496233274,0.03561119695207469,0.03877587751217937,0.04145313811991824,0.007835264878392005,0.016501373613736048,0.04378360956534163,0.0579806739565177,0.049223446984836744,0.03865378479504011,0.05084737479518562,0.027285010427522897,0.021818262892751555,0.010070674403096683,0.014377450524631883,0.06045711170714412,0.07156048747287888,0.023607906142532893,0.021653608060900807
STP.L,0.032171552385595055,4.224090512740239e-05,0.014457263840886421,0.028729965976291915,0.005036396569676469,0.028830488351996492,0.034196874912460706,0.042424238597880616,0.03819204516106859,0.03897690535127411,0.01949231198861128,0.03223685693548072,0.03637844478345373,0.04341852505930159,0.04224125165062174,0.026206192489996453,0.03589035847805619,0.025542187551017906,0.018836068312496165,0.022119181873276675,0.03202448198245552,0.039491589753477545,0.02855290679639952,0.032052176855656374,0.027285010427522897,0.014817186402118782,0.01124613486467227,0.0059967843504317156,0.017901922863477124,0.046596995091831094,0.05313453130749717,0.016085186644898615,0.01558738215782037
SUPR.L,0.02490253865384462,0.008988940407801538,0.009482006414880851,0.022137889583038434,0.00522108817452991,0.01897913864089885,0.027194349638135055,0.02923745391806391,0.021743835242391558,0.025937013528008753,0.010089300177039068,0.024444383698467815,0.028161225913741563,0.02914944812808673,0.04059191045346746,0.0210055632627541,0.024483075154890954,0.01772914685398913,0.008106584517227235,0.012941203945396475,0.02093717406401227,0.027515966042662977,0.0213226574610966,0.022033141613407466,0.021818262892751555,0.01124613486467227,0.009588944250753578,0.00420655798718952,0.012516233416877638,0.02799879641219852,0.03688008884112017,0.014019758430861685,0.013362422415628537
THRL.L,0.012017733283015836,0.0021047160109963995,-0.0006826800508423002,0.007310173197086213,-0.0010557693658353462,0.006834319314154287,0.005138568344140852,0.010199272690127924,0.006299785864750596,0.00878485001472734,0.0013054084869724223,0.007799121604057215,0.012149264982389734,0.009976262123890243,-6.850784957424666e-05,0.00620047630299376,0.007988493218009542,0.008184805227249308,0.0008517158830007055,0.0020378330166107147,0.010038676679133102,0.010484569603127405,0.00954924204127101,0.005497283566529393,0.010070674403096683,0.0059967843504317156,0.00420655798718952,0.0023470530124346163,0.0014579040351305461,0.01169347935595955,0.012870156707208995,0.0036423857056776246,0.003220091466405007
UKCM.L,0.013890418124691866,0.0055294460376566264,0.0248913350487115,0.02517411569753892,0.01909922997806418,0.02234873398337014,0.042747650599836796,0.03862845798728459,0.030214350325028724,0.030198046589966828,0.019735568684521775,0.02698521547057932,0.021705664605725927,0.033166469780544175,0.08253257571372712,0.024734010755293682,0.027549649597799854,0.013820559662752805,0.026645502320774377,0.025055187683675508,0.013719711632036256,0.029124580726891714,0.016392201667903207,0.03394395644791063,0.014377450524631883,0.017901922863477124,0.012516233416877638,0.0014579040351305461,0.023818532131201258,0.029445383537226293,0.04221714412362844,0.017868135103359675,0.01802034254316873
UTG.L,0.06597867139654001,0.007032097630305205,0.021647043850553462,0.05868074574011774,0.01181947710224867,0.05651422833894107,0.06330594206094006,0.09987338328918074,0.05503729867964554,0.06878342986572666,0.02218441900242879,0.05755306089091511,0.07656949711823736,0.0763243897799565,0.06518940630394068,0.049729905419973394,0.05821251262566057,0.05339344693666766,0.03181157075320489,0.03553152542743127,0.05678928236176193,0.08037090642099075,0.06158987785914975,0.06260720926814606,0.06045711170714412,0.046596995091831094,0.02799879641219852,0.01169347935595955,0.029445383537226293,0.0885003056097933,0.10278841238161979,0.032772954514063535,0.03110300088736372
WKP.L,0.07696235632026378,0.016432415089198082,0.03418865681014748,0.07452429934771501,0.02164878832341477,0.06858112695077924,0.08888345220954981,0.12144054340013208,0.06867048424386829,0.08526143481490411,0.030423148345546762,0.07438995093690642,0.09187171107834986,0.09464494629900069,0.11619752233675329,0.06562015541659655,0.07368771279596235,0.06192426467015172,0.04138246323080389,0.047322351308795786,0.06474095459477602,0.09734045806596285,0.0727139314684838,0.08107526589466532,0.07156048747287888,0.05313453130749717,0.03688008884112017,0.012870156707208995,0.04221714412362844,0.10278841238161979,0.12693896414082056,0.04466762315894848,0.04279636104258701
^FTLC,0.024515907841496702,0.009781231636192081,0.015940545094276334,0.02737042118562578,0.011180666652686017,0.02357726559960437,0.03687224019735205,0.042665984615021836,0.023921938396745352,0.029909341520745036,0.011848243043032298,0.02760603294094353,0.03090382344445847,0.033181800418318454,0.05917911477391793,0.02517339554344825,0.026359512785131125,0.019742329296274393,0.015381904571782795,0.018400858743471735,0.019558003585349634,0.033382342902090675,0.023919380029993335,0.030704810835147204,0.023607906142532893,0.016085186644898615,0.014019758430861685,0.0036423857056776246,0.017868135103359675,0.032772954514063535,0.04466762315894848,0.017936288370586907,0.01737321813138959
^FTSE,0.02229800423533405,0.009078015574660508,0.016547904573461454,0.026194386322416326,0.011806863173318572,0.02258805618053933,0.03643862798064333,0.04080856379410932,0.023704561313173583,0.02883996028631796,0.012317169887682769,0.026561613481333127,0.028689789923666907,0.031950702956605986,0.06037113576784671,0.02428564906377632,0.02550421724043035,0.018290821020870165,0.016125996569073913,0.018569872712077565,0.018017682125077008,0.031690858537204755,0.022151938631642866,0.030093579621609315,0.021653608060900807,0.01558738215782037,0.013362422415628537,0.003220091466405007,0.01802034254316873,0.03110300088736372,0.04279636104258701,0.01737321813138959,0.01691550943955581
